Asin,Color,Country Code,"Month, Day, Year of Date",Order ID,Size,Store,Cost,Price,Profit,Sales,Units
B09JG4TTP2,Black,US,5/28/2022,63d0a0a2dba2fe37f05053f9,240mmm,Dracaena Store,41.1,59.99,56.67,179.97,3
B09JG4TTP2,Black,US,5/3/2022,63d0bdc0dba2fe37f05453dc,240mmm,Dracaena Store,41.1,59.99,18.89,59.99,1
B09JG4TTP2,Black,US,5/4/2022,63d0bdc0dba2fe37f05453dd,240mmm,Dracaena Store,41.1,59.99,18.89,59.99,1
B09JG4TTP2,Black,US,5/6/2022,63d0bdc0dba2fe37f05453df,240mmm,Dracaena Store,41.1,59.99,18.89,59.99,1
B09JG4TTP2,Black,US,5/15/2022,63d0bdc0dba2fe37f05453e8,240mmm,Dracaena Store,41.1,59.99,18.89,59.99,1
B09JG4TTP2,Black,US,5/18/2022,63d0bdc0dba2fe37f05453eb,240mmm,Dracaena Store,41.1,59.99,18.89,59.99,1
B09JG4TTP2,Black,US,5/22/2022,63d0bdc0dba2fe37f05453ef,240mmm,Dracaena Store,41.1,59.99,18.89,59.99,1
B09JG4TTP2,Black,US,5/23/2022,63d0bdc0dba2fe37f05453f0,240mmm,Dracaena Store,41.1,59.99,37.78,119.98,2
B09JG4TTP2,Black,US,4/24/2022,63d0db35dba2fe37f05850a5,240mmm,Dracaena Store,41.1,59.99,18.89,59.99,1
B09JG4TTP2,Black,US,4/27/2022,63d0db35dba2fe37f05850a8,240mmm,Dracaena Store,41.1,59.99,18.89,59.99,1
B09JG4TTP2,Black,US,4/1/2022,63d0db35dba2fe37f058508e,240mmm,Dracaena Store,41.1,68.99,55.78,137.98,2
B09JG4TTP2,Black,US,4/15/2022,63d0db35dba2fe37f058509c,240mmm,Dracaena Store,41.1,68.99,27.89,68.99,1
B09JG4TTP2,Black,US,4/4/2022,63d0db35dba2fe37f0585091,240mmm,Dracaena Store,41.1,68.99,27.89,68.99,1
B09JG4TTP2,Black,US,4/12/2022,63d0db35dba2fe37f0585099,240mmm,Dracaena Store,41.1,68.99,27.89,68.99,1
B09JG4TTP2,Black,US,6/15/2022,63d4b730dba2fe37f0b2237b,240mmm,Dracaena Store,41.1,56.99,15.89,56.99,1
B09JG4TTP2,Black,US,6/17/2022,63d4b730dba2fe37f0b2237d,240mmm,Dracaena Store,41.1,56.99,47.67,170.97,3
B09JG4TTP2,Black,US,6/19/2022,63d4b730dba2fe37f0b2237f,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,6/6/2022,63d4b730dba2fe37f0b22372,240mmm,Dracaena Store,41.1,56.99,15.89,56.99,1
B09JG4TTP2,Black,US,6/7/2022,63d4b730dba2fe37f0b22373,240mmm,Dracaena Store,41.1,56.99,15.89,56.99,1
B09JG4TTP2,Black,US,6/11/2022,63d4b730dba2fe37f0b22377,240mmm,Dracaena Store,41.1,56.99,31.78,113.98,2
B09JG4TTP2,Black,US,6/12/2022,63d4b730dba2fe37f0b22378,240mmm,Dracaena Store,41.1,56.99,15.89,56.99,1
B09JG4TTP2,Black,US,6/13/2022,63d4b730dba2fe37f0b22379,240mmm,Dracaena Store,41.1,56.99,47.67,170.97,3
B09JG4TTP2,Black,US,6/21/2022,63d4b730dba2fe37f0b22381,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,6/26/2022,63d4b730dba2fe37f0b22386,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,6/28/2022,63d4b730dba2fe37f0b22388,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,7/17/2022,63d48b40dba2fe37f0af53b9,240mmm,Dracaena Store,41.1,69,27.9,69,1
