Asin,Color,Country Code,"Month, Day, Year of Date",Order ID,Size,Store,Cost,Price,Profit,Sales,Units
B09JG59MGK,Black,US,5/28/2022,63d0a104dba2fe37f0506245,120mm,Dracaena Store,31.1,49.99,56.67,149.97,3
B09JG59MGK,Black,US,5/29/2022,63d0a104dba2fe37f0506246,120mm,Dracaena Store,31.1,49.99,18.89,49.99,1
B09JG59MGK,Black,US,5/14/2022,63d0be22dba2fe37f05461f7,120mm,Dracaena Store,31.1,49.99,18.89,49.99,1
B09JG59MGK,Black,US,5/16/2022,63d0be22dba2fe37f05461f9,120mm,Dracaena Store,31.1,49.99,18.89,49.99,1
B09JG59MGK,Black,US,5/18/2022,63d0be22dba2fe37f05461fb,120mm,Dracaena Store,31.1,49.99,18.89,49.99,1
B09JG59MGK,Black,US,5/20/2022,63d0be22dba2fe37f05461fd,120mm,Dracaena Store,31.1,49.99,37.78,99.98,2
B09JG59MGK,Black,US,5/21/2022,63d0be22dba2fe37f05461fe,120mm,Dracaena Store,31.1,49.99,18.89,49.99,1
B09JG59MGK,Black,US,5/22/2022,63d0be22dba2fe37f05461ff,120mm,Dracaena Store,31.1,49.99,18.89,49.99,1
B09JG59MGK,Black,US,5/23/2022,63d0be22dba2fe37f0546200,120mm,Dracaena Store,31.1,49.99,18.89,49.99,1
B09JG59MGK,Black,US,5/26/2022,63d0be22dba2fe37f0546203,120mm,Dracaena Store,31.1,49.99,56.67,149.97,3
B09JG59MGK,Black,US,5/27/2022,63d0be22dba2fe37f0546204,120mm,Dracaena Store,31.1,49.99,75.56,199.96,4
B09JG59MGK,Black,US,4/7/2022,63d0db98dba2fe37f0585e68,120mm,Dracaena Store,31.1,49,17.9,49,1
B09JG59MGK,Black,US,6/1/2022,63d4b8d7dba2fe37f0b2346b,120mm,Dracaena Store,31.1,49.99,37.78,99.98,2
B09JG59MGK,Black,US,6/2/2022,63d4b8d7dba2fe37f0b2346c,120mm,Dracaena Store,31.1,25,-12.2,49.99,2
B09JG59MGK,Black,US,6/3/2022,63d4b8d7dba2fe37f0b2346d,120mm,Dracaena Store,31.1,49.99,18.89,49.99,1
B09JG59MGK,Black,US,6/4/2022,63d4b8d7dba2fe37f0b2346e,120mm,Dracaena Store,31.1,49.99,18.89,49.99,1
