Asin,Color,Country Code,"Month, Day, Year of Date",Order ID,Size,Store,Cost,Price,Profit,Sales,Units
B09JG5X1PY,Black,CA,5/23/2022,63d0afccdba2fe37f052663a,360mm,Dracaena Store,51,75.9924,24.9924,75.9924,1
B09JG5X1PY,Black,US,6/2/2022,63d4b741dba2fe37f0b223aa,360mm,Dracaena Store,51,86.99,35.99,86.99,1
B09JG5X1PY,Black,US,6/23/2022,63d4b741dba2fe37f0b223bf,360mm,Dracaena Store,51,86.99,35.99,86.99,1
B09JG5X1PY,Black,US,6/29/2022,63d4b741dba2fe37f0b223c5,360mm,Dracaena Store,51,86.99,35.99,86.99,1
B09JG5X1PY,Black,US,8/7/2022,63d46c2adba2fe37f0ace74c,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,8/25/2022,63d46c2adba2fe37f0ace75e,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,8/2/2022,63d46c2adba2fe37f0ace747,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,8/27/2022,63d46c2adba2fe37f0ace760,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,7/9/2022,63d48b44dba2fe37f0af540b,360mm,Dracaena Store,51,86.99,35.99,86.99,1
B09JG5X1PY,Black,US,7/28/2022,63d48b44dba2fe37f0af541e,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,7/4/2022,63d48b44dba2fe37f0af5406,360mm,Dracaena Store,51,86.99,35.99,86.99,1
B09JG5X1PY,Black,US,7/21/2022,63d48b44dba2fe37f0af5417,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,9/7/2022,63d81a6ce561b5a4b69bb063,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,1/23/2022,63d16913dba2fe37f066370a,360mm,Dracaena Store,51,89,38,89,1
B09JG5X1PY,Black,US,1/13/2022,63d16913dba2fe37f0663700,360mm,Dracaena Store,51,89,38,89,1
B09JG5X1PY,Black,US,9/24/2022,63f4e5176b5148a575c02224,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,9/26/2022,63f81ead6b5148a575091740,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,10/1/2022,63fe27e26b5148a575688680,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,10/4/2022,63ff00456b5148a5756fe648,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,US,10/12/2022,640d17f01bb907e3934d270a,360mm,Dracaena Store,51,77,26,77,1
B09JG5X1PY,Black,US,10/13/2022,640e01a81bb907e3935ece42,360mm,Dracaena Store,51,86,35,86,1
B09JG5X1PY,Black,JP,3/31/2023,649bae9253a4ec2274ba6d9d,360mm,Dracaena Store,51,104.293,53.293,104.293,1
B09JG5X1PY,Black,US,4/29/2023,649bc6bdc7011f37409783ec,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/30/2023,649bc6bdc7011f37409783ed,360mm,Ingenious Store,51,89.99,155.96,359.96,4
B09JG5X1PY,Black,US,5/1/2023,649bc6bdc7011f37409783ee,360mm,Ingenious Store,51,45,-12,89.99,2
B09JG5X1PY,Black,US,5/2/2023,649bc6bdc7011f37409783ef,360mm,Ingenious Store,51,89.99,77.98,179.98,2
B09JG5X1PY,Black,US,5/7/2023,649bc6bdc7011f37409783f4,360mm,Ingenious Store,51,89.99,77.98,179.98,2
B09JG5X1PY,Black,US,5/8/2023,649bc6bdc7011f37409783f5,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,5/11/2023,649bc6bdc7011f37409783f8,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,5/14/2023,649bc6bdc7011f37409783fb,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,5/18/2023,649bc6bdc7011f37409783ff,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,5/19/2023,649bc6bdc7011f3740978400,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,CA,6/10/2023,649bc25ec7011f3740975248,360mm,Ingenious Store,51,87.5444,36.5444,87.5444,1
B09JG5X1PY,Black,US,5/30/2023,649bc36fc7011f3740975ea9,360mm,Ingenious Store,51,84.99,33.99,84.99,1
B09JG5X1PY,Black,US,6/2/2023,649bc36fc7011f3740975eac,360mm,Ingenious Store,51,84.99,33.99,84.99,1
B09JG5X1PY,Black,US,6/14/2023,649bc36fc7011f3740975eb8,360mm,Ingenious Store,51,84.99,33.99,84.99,1
B09JG5X1PY,Black,US,6/16/2023,649bc36fc7011f3740975eba,360mm,Ingenious Store,51,84.99,33.99,84.99,1
B09JG5X1PY,Black,US,6/25/2023,649bc36fc7011f3740975ec3,360mm,Ingenious Store,51,84.99,67.98,169.98,2
B09JG5X1PY,Black,US,4/10/2023,649bca04c7011f374097a93b,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/11/2023,649bca04c7011f374097a93c,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/12/2023,649bca04c7011f374097a93d,360mm,Ingenious Store,51,89.99,38.99,89.99,1
