Date,Price,Total Gross Revenue,Total Orders,Total PPC Sales,Total Profit
1/1/2022,45,0,0,0,0
1/2/2022,45,0,0,0,0
1/3/2022,45,90,2,0,26.24
1/4/2022,45,45,1,0,-31.67
1/5/2022,45,135,2,0,39.35
1/6/2022,45,45,1,0,13.12
1/7/2022,45,0,0,0,0
1/8/2022,45,0,0,0,0
1/9/2022,45,0,0,0,0
1/10/2022,45,0,0,0,0
1/11/2022,45,45,1,0,13.12
1/12/2022,45,0,0,0,0
1/13/2022,45,90,2,0,26.24
1/14/2022,45,90,2,0,23.07
1/15/2022,45,45,1,0,13.12
1/16/2022,45,0,0,0,0
1/17/2022,45,180,4,0,42.53
1/18/2022,45,45,1,0,13.01
1/19/2022,45,90,2,0,22.85
1/20/2022,45,0,0,0,0
1/21/2022,45,0,0,0,0
1/22/2022,45,135,2,0,35.85
1/23/2022,45,45,1,0,13.01
1/24/2022,45,135,3,0,39.03
1/25/2022,45,139,3,0,36.21
1/26/2022,45,0,0,0,0
1/27/2022,45,0,0,0,0
1/28/2022,45,0,0,0,0
1/29/2022,45,0,0,0,0
1/30/2022,45,0,0,0,0
1/31/2022,45,0,0,0,-40.16
2/1/2022,45,0,0,0,0
2/2/2022,45,0,0,0,0
2/3/2022,45,0,0,0,0
2/4/2022,45,0,0,0,0
2/5/2022,45,0,0,0,0
2/6/2022,49,0,0,0,0
2/7/2022,49,49,1,0,16.53
2/8/2022,49,0,0,0,0
2/9/2022,49,0,0,0,0
2/10/2022,49,0,0,0,34.79
2/11/2022,49,0,0,0,0
2/12/2022,49,0,0,0,0
2/13/2022,49,0,0,0,0
2/14/2022,49,0,0,0,0
2/15/2022,49,0,0,0,0
2/16/2022,49,0,0,0,0
2/17/2022,49,0,0,0,0
2/18/2022,49,0,0,0,0
2/19/2022,49,0,0,0,0
2/20/2022,49,0,0,0,0
2/21/2022,49,0,0,0,0
2/22/2022,49,0,0,0,0
2/23/2022,49,0,0,0,0
2/24/2022,49,0,0,0,0
2/25/2022,49,0,0,0,0
2/26/2022,49,0,0,0,0
2/27/2022,49,0,0,0,0
2/28/2022,49,0,0,0,0
3/1/2022,49,0,0,0,0
3/2/2022,49,0,0,0,0
3/3/2022,49,0,0,0,0
3/4/2022,49,0,0,0,0
3/5/2022,49,0,0,0,34.68
3/6/2022,49,0,0,0,0
3/7/2022,49,0,0,0,0
3/8/2022,49,0,0,0,0
3/9/2022,49,0,0,0,0
3/10/2022,49,0,0,0,0
3/11/2022,49,0,0,0,0
3/12/2022,49,0,0,0,0
3/13/2022,49,0,0,0,0
3/14/2022,49,0,0,0,0
3/15/2022,49,0,0,0,0
3/16/2022,49,0,0,0,0
3/17/2022,49,0,0,0,0
3/18/2022,49,0,0,0,0
3/19/2022,49,0,0,0,0
3/20/2022,49,0,0,0,0
3/21/2022,49,0,0,0,0
3/22/2022,49,0,0,0,0
3/23/2022,49,0,0,0,0
3/24/2022,49,0,0,0,0
3/25/2022,49,0,0,0,0
3/26/2022,49,0,0,0,0
3/27/2022,49,0,0,0,0
3/28/2022,49,0,0,0,0
3/29/2022,49,0,0,0,0
3/30/2022,49,0,0,0,0
3/31/2022,49,0,0,0,0
4/1/2022,49,0,0,0,0
4/2/2022,49,0,0,0,0
4/3/2022,49,0,0,0,0
4/4/2022,49,0,0,0,0
4/5/2022,49,0,0,0,0
4/6/2022,49,0,0,0,0
4/7/2022,49,49,1,0,16.53
4/8/2022,49,0,0,0,0
4/9/2022,49,0,0,0,0
4/10/2022,49,0,0,0,0
4/11/2022,49,0,0,0,0
4/12/2022,49,0,0,0,0
4/13/2022,49,0,0,0,0
4/14/2022,49,0,0,0,0
4/15/2022,49,0,0,0,0
4/16/2022,49,0,0,0,0
4/17/2022,49,0,0,0,0
4/18/2022,49,0,0,0,0
4/19/2022,49,0,0,0,0
4/20/2022,49,0,0,0,0
4/21/2022,49,0,0,0,0
4/22/2022,49,0,0,0,0
4/23/2022,49,0,0,0,0
4/24/2022,49,0,0,0,0
4/25/2022,49,0,0,0,0
4/26/2022,49,0,0,0,0
4/27/2022,49,0,0,0,0
4/28/2022,49,0,0,0,0
4/29/2022,49,0,0,0,0
4/30/2022,49,0,0,0,0
5/1/2022,49,0,0,0,0
