ASIN,Date,Price,Total Gross Revenue,Total Orders,Total PPC Sales,Total Profit
B09JG4TTP2,1/1/2022,65,0,0,0,0
B09JG4TTP2,1/2/2022,65,0,0,0,0
B09JG4TTP2,1/3/2022,65,0,0,0,0
B09JG4TTP2,1/4/2022,65,0,0,0,0
B09JG4TTP2,1/5/2022,65,0,0,0,0
B09JG4TTP2,1/6/2022,65,0,0,0,0
B09JG4TTP2,1/7/2022,65,0,0,0,0
B09JG4TTP2,1/8/2022,65,65,1,0,23.45
B09JG4TTP2,1/9/2022,65,0,0,0,0
B09JG4TTP2,1/10/2022,65,0,0,0,0
B09JG4TTP2,1/11/2022,65,0,0,0,0
B09JG4TTP2,1/12/2022,65,0,0,0,0
B09JG4TTP2,1/13/2022,65,0,0,0,0
B09JG4TTP2,1/14/2022,65,0,0,0,-64.35
B09JG4TTP2,1/15/2022,65,0,0,0,0
B09JG4TTP2,1/16/2022,65,0,0,0,0
B09JG4TTP2,1/17/2022,65,0,0,0,0
B09JG4TTP2,1/18/2022,65,65,1,0,18.42
B09JG4TTP2,1/19/2022,65,0,0,0,0
B09JG4TTP2,1/20/2022,65,0,0,0,0
B09JG4TTP2,1/21/2022,65,0,0,0,0
B09JG4TTP2,1/22/2022,65,0,0,0,0
B09JG4TTP2,1/23/2022,65,65,1,0,18.42
B09JG4TTP2,1/24/2022,65,0,0,0,0
B09JG4TTP2,1/25/2022,65,65,1,0,18.42
B09JG4TTP2,1/26/2022,65,0,0,0,0
B09JG4TTP2,1/27/2022,69,0,0,0,0
B09JG4TTP2,1/28/2022,69,0,0,0,0
B09JG4TTP2,1/29/2022,69,0,0,0,0
B09JG4TTP2,1/30/2022,69,0,0,0,0
B09JG4TTP2,1/31/2022,69,0,0,0,0
B09JG4TTP2,2/1/2022,69,0,0,0,0
B09JG4TTP2,2/2/2022,69,0,0,0,0
B09JG4TTP2,2/3/2022,69,0,0,0,0
B09JG4TTP2,2/4/2022,69,0,0,0,0
B09JG4TTP2,2/5/2022,69,0,0,0,0
B09JG4TTP2,2/6/2022,69,0,0,0,0
B09JG4TTP2,2/7/2022,69,0,0,0,0
B09JG4TTP2,2/8/2022,69,207,2,0,79.56
B09JG4TTP2,2/9/2022,69,0,0,0,0
B09JG4TTP2,2/10/2022,69,0,0,0,0
B09JG4TTP2,2/11/2022,69,0,0,0,0
B09JG4TTP2,2/12/2022,69,0,0,0,0
B09JG4TTP2,2/13/2022,69,0,0,0,0
B09JG4TTP2,2/14/2022,69,0,0,0,0
B09JG4TTP2,2/15/2022,69,0,0,0,0
B09JG4TTP2,2/16/2022,69,0,0,0,0
B09JG4TTP2,2/17/2022,69,0,0,0,0
B09JG4TTP2,2/18/2022,69,0,0,0,0
B09JG4TTP2,2/19/2022,69,0,0,0,0
B09JG4TTP2,2/20/2022,69,0,0,0,0
B09JG4TTP2,2/21/2022,69,0,0,0,0
B09JG4TTP2,2/22/2022,69,0,0,0,0
