Order ID,Color,Cost,countryCode,"Month, Day, Year of Date",ASIN,Size,Store,Price,Sales,Units
63d0a0a2dba2fe37f05053f9,Black,41.1,US,"May 28, 2022",B09JG4TTP2,240mmm,Dracaena Store,59.99,179.97,3
63d0a104dba2fe37f0506245,Black,31.1,US,"May 28, 2022",B09JG59MGK,120mm,Dracaena Store,49.99,149.97,3
63d0a104dba2fe37f0506246,Black,31.1,US,"May 29, 2022",B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1
63d0afccdba2fe37f052663a,Black,51,CA,"May 23, 2022",B09JG5X1PY,360mm,Dracaena Store,75.9924,75.9924,1
63d0bdc0dba2fe37f05453dc,Black,41.1,US,"May 3, 2022",B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1
63d0bdc0dba2fe37f05453dd,Black,41.1,US,"May 4, 2022",B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1
63d0bdc0dba2fe37f05453df,Black,41.1,US,"May 6, 2022",B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1
63d0bdc0dba2fe37f05453e8,Black,41.1,US,"May 15, 2022",B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1
63d0bdc0dba2fe37f05453eb,Black,41.1,US,"May 18, 2022",B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1
63d0bdc0dba2fe37f05453ef,Black,41.1,US,"May 22, 2022",B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1
63d0bdc0dba2fe37f05453f0,Black,41.1,US,"May 23, 2022",B09JG4TTP2,240mmm,Dracaena Store,59.99,119.98,2
63d0be22dba2fe37f05461f7,Black,31.1,US,"May 14, 2022",B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1
63d0be22dba2fe37f05461f9,Black,31.1,US,"May 16, 2022",B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1
63d0be22dba2fe37f05461fb,Black,31.1,US,"May 18, 2022",B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1
63d0be22dba2fe37f05461fd,Black,31.1,US,"May 20, 2022",B09JG59MGK,120mm,Dracaena Store,49.99,99.98,2
63d0be22dba2fe37f05461fe,Black,31.1,US,"May 21, 2022",B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1
63d0be22dba2fe37f05461ff,Black,31.1,US,"May 22, 2022",B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1
63d0be22dba2fe37f0546200,Black,31.1,US,"May 23, 2022",B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1
