Order ID,Color,Cost,countryCode,"Month, Day, Year of Date",ASIN,Size,Store,Price,Sales,Units,Profit
63d0a0a2dba2fe37f05053f9,Black,41.1,US,28-May-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,179.97,3,56.67
63d0a104dba2fe37f0506245,Black,31.1,US,28-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,149.97,3,56.67
63d0a104dba2fe37f0506246,Black,31.1,US,29-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d0afccdba2fe37f052663a,Black,51,CA,23-May-22,B09JG5X1PY,360mm,Dracaena Store,75.9924,75.9924,1,24.9924
63d0bdc0dba2fe37f05453dc,Black,41.1,US,3-May-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1,18.89
63d0bdc0dba2fe37f05453dd,Black,41.1,US,4-May-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1,18.89
63d0bdc0dba2fe37f05453df,Black,41.1,US,6-May-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1,18.89
63d0bdc0dba2fe37f05453e8,Black,41.1,US,15-May-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1,18.89
63d0bdc0dba2fe37f05453eb,Black,41.1,US,18-May-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1,18.89
63d0bdc0dba2fe37f05453ef,Black,41.1,US,22-May-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1,18.89
63d0bdc0dba2fe37f05453f0,Black,41.1,US,23-May-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,119.98,2,37.78
63d0be22dba2fe37f05461f7,Black,31.1,US,14-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d0be22dba2fe37f05461f9,Black,31.1,US,16-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d0be22dba2fe37f05461fb,Black,31.1,US,18-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d0be22dba2fe37f05461fd,Black,31.1,US,20-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,99.98,2,37.78
63d0be22dba2fe37f05461fe,Black,31.1,US,21-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d0be22dba2fe37f05461ff,Black,31.1,US,22-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d0be22dba2fe37f0546200,Black,31.1,US,23-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d0be22dba2fe37f0546203,Black,31.1,US,26-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,149.97,3,56.67
63d0be22dba2fe37f0546204,Black,31.1,US,27-May-22,B09JG59MGK,120mm,Dracaena Store,49.99,199.96,4,75.56
63d0db35dba2fe37f05850a5,Black,41.1,US,24-Apr-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1,18.89
63d0db35dba2fe37f05850a8,Black,41.1,US,27-Apr-22,B09JG4TTP2,240mmm,Dracaena Store,59.99,59.99,1,18.89
63d0db35dba2fe37f058508e,Black,41.1,US,1-Apr-22,B09JG4TTP2,240mmm,Dracaena Store,68.99,137.98,2,55.78
63d0db35dba2fe37f058509c,Black,41.1,US,15-Apr-22,B09JG4TTP2,240mmm,Dracaena Store,68.99,68.99,1,27.89
63d0db35dba2fe37f0585091,Black,41.1,US,4-Apr-22,B09JG4TTP2,240mmm,Dracaena Store,68.99,68.99,1,27.89
63d0db35dba2fe37f0585099,Black,41.1,US,12-Apr-22,B09JG4TTP2,240mmm,Dracaena Store,68.99,68.99,1,27.89
63d0db98dba2fe37f0585e68,Black,31.1,US,7-Apr-22,B09JG59MGK,120mm,Dracaena Store,49,49,1,17.9
63d4b8d7dba2fe37f0b2346b,Black,31.1,US,1-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,99.98,2,37.78
63d4b8d7dba2fe37f0b2346c,Black,31.1,US,2-Jun-22,B09JG59MGK,120mm,Dracaena Store,25,49.99,2,-12.2
63d4b8d7dba2fe37f0b2346d,Black,31.1,US,3-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d4b8d7dba2fe37f0b2346e,Black,31.1,US,4-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d4b8d7dba2fe37f0b2347c,Black,31.1,US,18-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,207.96,4,83.56
63d4b8d7dba2fe37f0b2347d,Black,31.1,US,19-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,103.98,2,41.78
63d4b8d7dba2fe37f0b2347e,Black,31.1,US,20-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,103.98,2,41.78
63d4b8d7dba2fe37f0b2347f,Black,31.1,US,21-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,155.97,3,62.67
63d4b8d7dba2fe37f0b23470,Black,31.1,US,6-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d4b8d7dba2fe37f0b23471,Black,31.1,US,7-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,99.98,2,37.78
63d4b8d7dba2fe37f0b23473,Black,31.1,US,9-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d4b8d7dba2fe37f0b23474,Black,31.1,US,10-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,99.98,2,37.78
63d4b8d7dba2fe37f0b23475,Black,31.1,US,11-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d4b8d7dba2fe37f0b23476,Black,31.1,US,12-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d4b8d7dba2fe37f0b23477,Black,31.1,US,13-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,99.98,2,37.78
63d4b8d7dba2fe37f0b23478,Black,31.1,US,14-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,49.99,1,18.89
63d4b8d7dba2fe37f0b23479,Black,31.1,US,15-Jun-22,B09JG59MGK,120mm,Dracaena Store,49.99,299.94,6,113.34
63d4b8d7dba2fe37f0b23480,Black,31.1,US,22-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,103.98,2,41.78
63d4b8d7dba2fe37f0b23481,Black,31.1,US,23-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,103.98,2,41.78
63d4b8d7dba2fe37f0b23482,Black,31.1,US,24-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,259.95,5,104.45
63d4b8d7dba2fe37f0b23483,Black,31.1,US,25-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,155.97,3,62.67
63d4b8d7dba2fe37f0b23484,Black,31.1,US,26-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,155.97,3,62.67
63d4b8d7dba2fe37f0b23485,Black,31.1,US,27-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,207.96,4,83.56
63d4b8d7dba2fe37f0b23486,Black,31.1,US,28-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,103.98,2,41.78
63d4b8d7dba2fe37f0b23487,Black,31.1,US,29-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,155.97,3,62.67
63d4b8d7dba2fe37f0b23488,Black,31.1,US,30-Jun-22,B09JG59MGK,120mm,Dracaena Store,51.99,207.96,4,83.56
63d4b730dba2fe37f0b2237b,Black,41.1,US,15-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,56.99,56.99,1,15.89
63d4b730dba2fe37f0b2237d,Black,41.1,US,17-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,56.99,170.97,3,47.67
63d4b730dba2fe37f0b2237f,Black,41.1,US,19-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,69,69,1,27.9
63d4b730dba2fe37f0b22372,Black,41.1,US,6-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,56.99,56.99,1,15.89
63d4b730dba2fe37f0b22373,Black,41.1,US,7-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,56.99,56.99,1,15.89
63d4b730dba2fe37f0b22377,Black,41.1,US,11-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,56.99,113.98,2,31.78
63d4b730dba2fe37f0b22378,Black,41.1,US,12-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,56.99,56.99,1,15.89
63d4b730dba2fe37f0b22379,Black,41.1,US,13-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,56.99,170.97,3,47.67
63d4b730dba2fe37f0b22381,Black,41.1,US,21-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,69,69,1,27.9
63d4b730dba2fe37f0b22386,Black,41.1,US,26-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,69,69,1,27.9
63d4b730dba2fe37f0b22388,Black,41.1,US,28-Jun-22,B09JG4TTP2,240mmm,Dracaena Store,69,69,1,27.9
63d4b741dba2fe37f0b223aa,Black,51,US,2-Jun-22,B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1,35.99
63d4b741dba2fe37f0b223bf,Black,51,US,23-Jun-22,B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1,35.99
63d4b741dba2fe37f0b223c5,Black,51,US,29-Jun-22,B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1,35.99
63d7aca2e561b5a4b697f4d2,Black,31.1,JP,2-Sep-22,B09JG59MGK,120mm,Dracaena Store,55.993,111.986,2,49.786
63d8b4a115f0dd999069e679,Black,31.1,JP,3-Sep-22,B09JG59MGK,120mm,Dracaena Store,55.993,55.993,1,24.893
63d06ab4dba2fe37f0494dbd,Black,31.1,GB,29-Jun-22,B09JG59MGK,120mm,Dracaena Store,66.0273,66.0273,1,34.9273
63d06fd7dba2fe37f04a034b,Black,31.1,DE,7-Jul-22,B09JG59MGK,120mm,Dracaena Store,56.6691,56.6691,1,25.5691
63d06fd7dba2fe37f04a035d,Black,31.1,DE,25-Jul-22,B09JG59MGK,120mm,Dracaena Store,56.6691,56.6691,1,25.5691
63d45d98dba2fe37f0abbc8f,Black,31.1,CA,31-Jul-22,B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1,21.34
63d45d98dba2fe37f0abbc92,Black,31.1,CA,3-Aug-22,B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1,21.34
63d46a31dba2fe37f0acbdea,Black,31.1,JP,5-Jun-22,B09JG59MGK,120mm,Dracaena Store,39.893,39.893,1,8.793
63d46a31dba2fe37f0acbded,Black,31.1,JP,8-Jun-22,B09JG59MGK,120mm,Dracaena Store,39.893,39.893,1,8.793
63d46a31dba2fe37f0acbdf2,Black,31.1,JP,13-Jun-22,B09JG59MGK,120mm,Dracaena Store,39.893,39.893,1,8.793
63d46c2adba2fe37f0ace74c,Black,51,US,7-Aug-22,B09JG5X1PY,360mm,Dracaena Store,86,86,1,35
63d46c2adba2fe37f0ace75e,Black,51,US,25-Aug-22,B09JG5X1PY,360mm,Dracaena Store,86,86,1,35
63d46c2adba2fe37f0ace747,Black,51,US,2-Aug-22,B09JG5X1PY,360mm,Dracaena Store,86,86,1,35
63d46c2adba2fe37f0ace760,Black,51,US,27-Aug-22,B09JG5X1PY,360mm,Dracaena Store,86,86,1,35
63d46c8edba2fe37f0acef7e,Black,31.1,US,5-Aug-22,B09JG59MGK,120mm,Dracaena Store,52,52,1,20.9
63d46c8edba2fe37f0acef79,Black,31.1,US,31-Jul-22,B09JG59MGK,120mm,Dracaena Store,52,52,1,20.9
63d46c8edba2fe37f0acef85,Black,31.1,US,12-Aug-22,B09JG59MGK,120mm,Dracaena Store,52,52,1,20.9
63d46c8edba2fe37f0acef86,Black,31.1,US,13-Aug-22,B09JG59MGK,120mm,Dracaena Store,52,52,1,20.9
63d46f88dba2fe37f0ad2b8a,Black,31.1,JP,20-May-22,B09JG59MGK,120mm,Dracaena Store,39.893,39.893,1,8.793
63d46f88dba2fe37f0ad2b8c,Black,31.1,JP,22-May-22,B09JG59MGK,120mm,Dracaena Store,39.893,39.893,1,8.793
63d46f88dba2fe37f0ad2b83,Black,31.1,JP,13-May-22,B09JG59MGK,120mm,Dracaena Store,39.893,119.679,3,26.379
63d46f88dba2fe37f0ad2b85,Black,31.1,JP,15-May-22,B09JG59MGK,120mm,Dracaena Store,39.893,39.893,1,8.793
63d46f88dba2fe37f0ad2b86,Black,31.1,JP,16-May-22,B09JG59MGK,120mm,Dracaena Store,39.893,39.893,1,8.793
63d46f88dba2fe37f0ad2b88,Black,31.1,JP,18-May-22,B09JG59MGK,120mm,Dracaena Store,39.893,39.893,1,8.793
63d46f88dba2fe37f0ad2b96,Black,31.1,JP,1-Jun-22,B09JG59MGK,120mm,Dracaena Store,39.893,79.786,2,17.586
63d47c29dba2fe37f0ae2ad3,Black,31.1,CA,1-Jul-22,B09JG59MGK,120mm,Dracaena Store,52.3488,52.3488,1,21.2488
63d47c29dba2fe37f0ae2ade,Black,31.1,CA,12-Jul-22,B09JG59MGK,120mm,Dracaena Store,49.02,49.02,1,17.92
63d47c29dba2fe37f0ae2adf,Black,31.1,CA,13-Jul-22,B09JG59MGK,120mm,Dracaena Store,49.02,147.06,3,53.76
63d48b40dba2fe37f0af53b9,Black,41.1,US,17-Jul-22,B09JG4TTP2,240mmm,Dracaena Store,69,69,1,27.9
63d48b44dba2fe37f0af540b,Black,51,US,9-Jul-22,B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1,35.99
63d48b44dba2fe37f0af541e,Black,51,US,28-Jul-22,B09JG5X1PY,360mm,Dracaena Store,86,86,1,35
63d48b44dba2fe37f0af5406,Black,51,US,4-Jul-22,B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1,35.99
63d48b44dba2fe37f0af5417,Black,51,US,21-Jul-22,B09JG5X1PY,360mm,Dracaena Store,86,86,1,35
63d48ba8dba2fe37f0af5c1a,Black,31.1,US,2-Jul-22,B09JG59MGK,120mm,Dracaena Store,51.99,51.99,1,20.89
63d48ba8dba2fe37f0af5c1b,Black,31.1,US,3-Jul-22,B09JG59MGK,120mm,Dracaena Store,51.99,51.99,1,20.89
63d48ba8dba2fe37f0af5c1c,Black,31.1,US,4-Jul-22,B09JG59MGK,120mm,Dracaena Store,51.99,103.98,2,41.78
63d48ba8dba2fe37f0af5c1d,Black,31.1,US,5-Jul-22,B09JG59MGK,120mm,Dracaena Store,51.99,103.98,2,41.78
63d48ba8dba2fe37f0af5c1e,Black,31.1,US,6-Jul-22,B09JG59MGK,120mm,Dracaena Store,51.99,155.97,3,62.67
63d48ba8dba2fe37f0af5c1f,Black,31.1,US,7-Jul-22,B09JG59MGK,120mm,Dracaena Store,51.99,103.98,2,41.78
