ASIN,Color,countryCode,Date,Order ID,Size,Store,Cost,Price to USD,Sales to USD,Units Sold
B09JG59MGK,Black,CA,4/29/2023,649bc5b6c7011f3740977816,120mm,Ingenious Store,31.1,60.7392,60.7392,1
B09JG5X1PY,Black,CA,6/10/2023,649bc25ec7011f3740975248,360mm,Ingenious Store,51,87.5444,87.5444,1
B09JG4TTP2,Black,US,12/11/2022,64425462dc352d950f438222,240mm,Ingenious Store,41.1,68.99,68.99,1
B09JG4TTP2,Black,US,12/13/2022,64425462dc352d950f438224,240mm,Ingenious Store,41.1,68.99,68.99,1
B09JG4TTP2,Black,US,4/21/2023,649bca14c7011f374097a9fa,240mm,Ingenious Store,41.1,69.99,69.99,1
B09JG4TTP2,Black,US,4/24/2023,649bca14c7011f374097a9fd,240mm,Ingenious Store,41.1,69.99,69.99,1
B09JG4TTP2,Black,US,4/26/2023,649bca14c7011f374097a9ff,240mm,Ingenious Store,41.1,69.99,69.99,1
B09JG4TTP2,Black,US,5/30/2023,649bc37fc7011f3740975f5d,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,6/1/2023,649bc37fc7011f3740975f5f,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,6/6/2023,649bc37fc7011f3740975f64,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,6/12/2023,649bc37fc7011f3740975f6a,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,6/15/2023,649bc37fc7011f3740975f6d,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,6/16/2023,649bc37fc7011f3740975f6e,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,6/17/2023,649bc37fc7011f3740975f6f,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,6/19/2023,649bc37fc7011f3740975f71,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,6/21/2023,649bc37fc7011f3740975f73,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,6/23/2023,649bc37fc7011f3740975f75,240mm,Ingenious Store,41.1,72.99,72.99,1
B09JG4TTP2,Black,US,5/7/2023,649bc6cbc7011f37409784a8,240mm,Ingenious Store,41.1,74.99,74.99,1
B09JG4TTP2,Black,US,5/10/2023,649bc6cbc7011f37409784ab,240mm,Ingenious Store,41.1,74.99,74.99,1
B09JG4TTP2,Black,US,5/15/2023,649bc6cbc7011f37409784b0,240mm,Ingenious Store,41.1,74.99,74.99,1
B09JG4TTP2,Black,US,5/17/2023,649bc6cbc7011f37409784b2,240mm,Ingenious Store,41.1,74.99,74.99,1
B09JG4TTP2,Black,US,5/20/2023,649bc6cbc7011f37409784b5,240mm,Ingenious Store,41.1,74.99,74.99,1
B09JG4TTP2,Black,US,5/27/2023,649bc6cbc7011f37409784bc,240mm,Ingenious Store,41.1,74.99,74.99,1
B09JG4TTP2,Black,US,5/28/2023,649bc6cbc7011f37409784bd,240mm,Ingenious Store,41.1,74.99,74.99,1
B09JG4TTP2,Black,US,12/19/2022,64425462dc352d950f43822a,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,12/20/2022,64425462dc352d950f43822b,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,1/1/2023,649bd3b3c7011f37409819b2,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,1/5/2023,649bd3b3c7011f37409819b6,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,1/7/2023,649bd3b3c7011f37409819b8,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,1/8/2023,649bd3b3c7011f37409819b9,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,1/11/2023,649bd3b3c7011f37409819bc,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,1/12/2023,649bd3b3c7011f37409819bd,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,1/14/2023,649bd3b3c7011f37409819bf,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,1/16/2023,649bd3b3c7011f37409819c1,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,1/21/2023,649bd3b3c7011f37409819c6,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,2/2/2023,649bd073c7011f374097f470,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,2/6/2023,649bd073c7011f374097f474,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,2/7/2023,649bd073c7011f374097f475,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,2/11/2023,649bd073c7011f374097f479,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,2/15/2023,649bd073c7011f374097f47d,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,2/17/2023,649bd073c7011f374097f47f,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,2/18/2023,649bd073c7011f374097f480,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,2/22/2023,649bd073c7011f374097f484,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,2/23/2023,649bd073c7011f374097f485,240mm,Ingenious Store,41.1,75.99,75.99,1
B09JG4TTP2,Black,US,3/4/2023,649bcd46c7011f374097cf2c,240mm,Ingenious Store,41.1,79.99,79.99,1
